date,wp1,u,v,ws,wd
2009-07-01 01:00:00,0.085,2.34,-0.79,2.47,108.68
2009-07-01 02:00:00,0.02,2.18,-0.99,2.4,114.31
2009-07-01 03:00:00,0.06,2.2,-1.21,2.51,118.71
2009-07-01 04:00:00,0.045,2.35,-1.4,2.73,120.86
2009-07-01 05:00:00,0.035,2.53,-1.47,2.93,120.13
2009-07-01 06:00:00,0.005,2.66,-1.29,2.96,115.79
2009-07-01 07:00:00,0.0,2.69,-0.81,2.81,106.71
2009-07-01 08:00:00,0.0,2.72,-0.26,2.73,95.39
2009-07-01 09:00:00,0.01,2.87,0.08,2.87,88.5
2009-07-01 10:00:00,0.025,3.23,-0.01,3.23,90.19
2009-07-01 11:00:00,0.03,3.65,-0.33,3.66,95.15
2009-07-01 12:00:00,0.01,3.89,-0.6,3.94,98.71
2009-07-01 13:00:00,0.0,2.77,-0.65,2.85,103.17
2009-07-01 14:00:00,0.01,3.12,-0.74,3.2,103.36
2009-07-01 15:00:00,0.0,3.29,-0.62,3.35,100.63
2009-07-01 16:00:00,0.0,3.31,-0.37,3.33,96.42
2009-07-01 17:00:00,0.0,3.17,-0.13,3.17,92.38
2009-07-01 18:00:00,0.005,2.88,-0.04,2.88,90.73
2009-07-01 19:00:00,0.0,2.45,-0.18,2.46,94.09
2009-07-01 20:00:00,0.0,1.96,-0.45,2.01,102.78
2009-07-01 21:00:00,0.0,1.52,-0.7,1.67,114.58
2009-07-01 22:00:00,0.005,1.18,-0.82,1.44,124.63
2009-07-01 23:00:00,0.015,0.86,-0.87,1.22,135.16
2009-07-02 00:00:00,0.0,0.44,-0.95,1.04,155.24
2009-07-02 01:00:00,0.0,0.68,-1.08,1.27,147.93
2009-07-02 02:00:00,0.01,0.45,-1.52,1.59,163.36
2009-07-02 03:00:00,0.01,0.12,-1.46,1.46,175.48
2009-07-02 04:00:00,0.0,-0.27,-1.06,1.1,194.13
2009-07-02 05:00:00,0.0,-0.56,-0.59,0.81,223.94
2009-07-02 06:00:00,0.0,-0.63,-0.27,0.68,246.61
2009-07-02 07:00:00,0.0,-0.38,-0.3,0.49,231.76
2009-07-02 08:00:00,0.0,-0.04,-0.57,0.57,184.5
2009-07-02 09:00:00,0.015,0.11,-0.87,0.88,172.7
2009-07-02 10:00:00,0.03,-0.1,-1.08,1.08,185.05
2009-07-02 11:00:00,0.01,-0.44,-1.2,1.28,199.95
2009-07-02 12:00:00,0.0,-0.58,-1.32,1.44,203.82
2009-07-02 13:00:00,0.0,0.39,-2.18,2.22,169.75
2009-07-02 14:00:00,0.0,0.74,-2.29,2.4,162.17
2009-07-02 15:00:00,0.0,0.91,-2.34,2.52,158.7
2009-07-02 16:00:00,0.01,0.99,-2.37,2.57,157.24
2009-07-02 17:00:00,0.01,1.07,-2.4,2.63,156.03
2009-07-02 18:00:00,0.01,1.23,-2.48,2.76,153.58
2009-07-02 19:00:00,0.01,1.55,-2.62,3.04,149.37
2009-07-02 20:00:00,0.01,1.97,-2.76,3.39,144.51
2009-07-02 21:00:00,0.08,2.39,-2.81,3.69,139.6
2009-07-02 22:00:00,0.025,2.74,-2.71,3.85,134.69
2009-07-02 23:00:00,0.08,2.93,-2.47,3.83,130.17
2009-07-03 00:00:00,0.201,2.91,-2.16,3.62,126.63
2009-07-03 01:00:00,0.12,2.06,-2.14,2.97,136.14
2009-07-03 02:00:00,0.035,2.12,-1.92,2.86,132.13
2009-07-03 03:00:00,0.05,2.37,-1.71,2.93,125.85
2009-07-03 04:00:00,0.08,2.74,-1.53,3.14,119.18
2009-07-03 05:00:00,0.065,3.13,-1.36,3.41,113.51
2009-07-03 06:00:00,0.14,3.42,-1.19,3.63,109.2
2009-07-03 07:00:00,0.08,3.57,-1.03,3.72,106.16
2009-07-03 08:00:00,0.055,3.65,-0.96,3.77,104.81
2009-07-03 09:00:00,0.025,3.8,-1.08,3.95,105.91
2009-07-03 10:00:00,0.04,4.1,-1.45,4.35,109.48
2009-07-03 11:00:00,0.1,4.45,-1.99,4.87,114.04
2009-07-03 12:00:00,0.175,4.71,-2.57,5.37,118.64
